id,Title,Active
18500162600,21st Century Music,Inactive
21100404576,2D Materials,Active
21100447128,3 Biotech,Active
21100779062,3D Printing and Additive Manufacturing,Active
21100229836,3D Research,Active
19700200922,"3L: Language, Linguistics, Literature",Active
145295,4OR,Active
21100399164,A & A case reports,Active
16400154734,A + U-Architecture and Urbanism,Active
5700161051,A Contrario,Active
19600162043,A.M.A. American Journal of Diseases of Children,Inactive
19400157806,A.M.A. archives of dermatology,Inactive
19600162081,A.M.A. Archives of Dermatology and Syphilology,Inactive
19400157807,A.M.A. archives of industrial health,Inactive
19600162082,A.M.A. Archives of Industrial Hygiene and Occupational Medicine,Inactive
19400157808,A.M.A. archives of internal medicine,Inactive
19400158171,A.M.A. archives of neurology,Inactive
19400157809,A.M.A. archives of neurology and psychiatry,Inactive
19400157810,A.M.A. archives of ophthalmology,Inactive
19400157811,A.M.A. archives of otolaryngology,Inactive
19400157812,A.M.A. archives of pathology,Inactive
19400157813,A.M.A. archives of surgery,Inactive
21100456161,a/b: Auto/Biography Studies,Active
11600153683,A|Z ITU Journal of Faculty of Architecture,Active
21100780699,A+BE Architecture and the Built Environment,Active
5800207606,"AAA, Arbeiten aus Anglistik und Amerikanistik",Active
28033,AAC: Augmentative and Alternative Communication,Active
19300156808,AACL Bioflux,Active
4700152443,AACN Advanced Critical Care,Active
26408,AACN clinical issues,Inactive
51879,AACN clinical issues in critical care nursing,Inactive
26729,AANA Journal,Active
66438,AANNT journal / the American Association of Nephrology Nurses and Technicians,Inactive
5100155055,AAO Journal,Active
27096,AAOHN Journal,Inactive
30787,AAPG Bulletin,Active
24508,AAPG Memoir,Inactive
21100199540,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",Active
18199,AAPPO journal,Inactive
21100853564,AAPS Advances in the Pharmaceutical Sciences Series,Active
4000148019,AAPS Journal,Active
11000153741,AAPS PharmSci,Inactive
19374,AAPS PharmSciTech,Active
27078,Aardkundige Mededelingen,Inactive
70264,AARN news letter,Inactive
29933,AAS History Series,Inactive
21100776059,AATCC Journal of Research,Active
15286,AATCC Review,Active
83765,AB bookman's weekly : for the specialist book world,Inactive
21100316466,Ab Imperio,Active
13208,ABA Bank Marketing,Inactive
29842,ABA Journal,Inactive
100147335,Abacus,Active
18665,ABB Review,Active
12021,Abbey Newsletter,Inactive
27818,Abdominal Imaging,Inactive
21100454916,Abdominal Radiology,Active
76291,Aberdeen's Concrete Construction,Inactive
27488,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,Active
13678,Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft,Inactive
26472,Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften,Inactive
54911,Abrasive Engineering,Inactive
92651,Abrasives,Inactive
24087,Abstract and Applied Analysis,Active
92766,Abstracta Botanica,Inactive
22394,ABU Technical Review,Active
16376,Academe,Active
21100838570,Academia (Greece),Active
20396,Academia Peruana de Cirugia,Inactive
19700173246,Academia Revista Latinoamericana de Administracion,Active
15185,Academic Emergency Medicine,Active
19700182619,Academic Journal of Cancer Research,Inactive
19900192427,Academic Journal of Manufacturing Engineering,Active
3200147815,Academic Journal of Second Military Medical University,Active
18353,Academic Journal of Xi'an Jiaotong University,Inactive
28997,Academic Leadership,Inactive
26493,Academic Medicine,Active
16800154743,Academic Pediatrics,Active
17539,Academic Psychiatry,Active
5600153996,Academic Questions,Active
20031,Academic Radiology,Active
19300157018,Academy of Accounting and Financial Studies Journal,Active
19700175173,Academy of Banking Studies Journal,Inactive
19700175174,Academy of Entrepreneurship Journal,Active
19900191906,Academy of Management Annals,Active
20189,Academy of Management Executive,Inactive
20191,Academy of Management Journal,Active
